,0
0,Alabama
1,Arizona
2,Arkansas
3,Colorado
4,Connecticut
5,Delaware
6,Florida
7,Hawaii
8,Idaho
9,Illinois
10,Indiana
11,Iowa
12,Kansas
13,Kentucky
14,Louisiana
15,Maine
16,Maryland
17,Massachusetts
18,Michigan
19,Minnesota
20,Mississippi
21,Missouri
22,Montana
23,Nebraska
24,Nevada
25,New Hampshire
26,New Mexico
27,New York
28,North Carolina
29,North Dakota
30,Oklahoma
31,Oregon
32,Pennsylvania
33,Rhode Island
34,South Carolina
35,South Dakota
36,Tennessee
37,Utah
38,Vermont
39,Virginia
40,Washington
41,West Virginia
42,Wisconsin
43,Wyoming
